time;random
0:32.966267;1
0:32.999633;1
0:33.033000;1
0:33.066367;1
0:33.099733;1
0:33.133100;1
0:33.166467;1
0:33.199833;1
0:33.233200;1
0:33.266567;1
0:33.299933;1
0:33.333300;1
0:33.366667;1
0:33.400033;1
0:33.433400;1
0:33.466767;1
0:33.500133;1
0:33.533500;1
0:33.566867;1
0:33.600233;1
0:33.633600;1
0:33.666967;1
0:33.700333;1
0:33.733700;1
0:33.767067;1
0:33.800433;1
0:33.833800;1
0:33.867167;1
0:33.900533;1
0:33.933900;1
0:33.967267;1
0:34.000633;1
0:34.034000;1
0:34.067367;1
0:34.100733;1
0:34.134100;1
0:34.167467;1
0:34.200833;1
0:34.234200;1
0:34.267567;1
0:34.300933;1
0:34.334300;1
0:34.367667;1
0:34.401033;1
0:34.434400;1
0:34.467767;1
0:34.501133;1
0:34.534500;1
0:34.567867;1
0:34.667967;1
0:34.734700;1
0:34.768067;1
0:34.801433;1
0:34.834800;1
0:34.868167;1
0:34.901533;1
0:34.934900;1
0:35.001633;1
0:35.035000;1
0:35.068367;1
0:35.101733;1
0:35.135100;1
0:35.168467;1
0:35.201833;1
0:35.235200;1
0:35.268567;1
0:35.301933;1
0:35.335300;1
0:35.368667;1
0:35.402033;1
0:35.435400;1
0:35.468767;1
0:35.502133;1
0:35.535500;1
0:35.568867;1
0:35.602233;1
0:35.635600;1
0:35.668967;1
0:35.702333;1
0:35.735700;1
0:35.769067;1
0:35.802433;1
0:35.835800;1
0:35.869167;1
0:35.902533;1
0:35.935900;1
0:35.969267;1
0:36.002633;1
0:36.036000;1
0:36.069367;1
0:36.102733;1
0:36.136100;1
0:36.169467;1
0:36.202833;1
0:36.236200;1
0:36.269567;1
0:36.302933;1
0:36.336300;1
0:36.369667;1
0:36.403033;1
0:36.436400;1
0:36.469767;1
0:36.503133;1
0:36.536500;1
0:36.569867;1
0:36.603233;1
0:36.636600;1
0:36.669967;1
0:36.703333;1
0:36.736700;1
0:36.770067;1
0:36.803433;1
0:36.836800;1
0:36.870167;1
0:36.903533;1
0:36.936900;1
0:36.970267;1
0:37.003633;1
0:37.037000;1
0:37.070367;1
0:37.103733;1
0:37.137100;1
